GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
product-service,com.irfan.microservices.product.service,ProductService,0,234,0,2,0,39,0,14,0,13
product-service,com.irfan.microservices.product.controller,ProductController,0,29,0,0,0,6,0,5,0,5
